[2025-03-25T14:34:06.737Z] IP: ::1 | Method: GET | URL: //2021/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:34:06.947Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: //shop/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:34:07.145Z] IP: ::1 | Method: GET | URL: //wp1/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:34:07.405Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: //test/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:34:07.604Z] IP: ::1 | Method: GET | URL: //site/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:34:07.831Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: //cms/wp-includes/wlwmanifest.xml | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
[2025-03-25T14:37:08.017Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:37:23.045Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:38:22.881Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:40:13.374Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:42:24.208Z] IP: ::1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/120.0
[2025-03-25T14:56:08.425Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:56:56.937Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:57:21.466Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:00:00.801Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:17:51.476Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:18:14.842Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:19:11.730Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:19:12.045Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
